Zone,IP
ca-west-1,192.168.3.34
us-east-2,192.168.3.36
us-west-1,192.168.3.37
us-west-2,192.168.3.38
mx-central-1,192.168.3.39
eu-central-1,192.168.3.40
eu-central-2,192.168.3.41
eu-north-1,192.168.3.42
eu-south-1,192.168.3.43
eu-south-2,192.168.3.44
eu-west-1,192.168.3.45
eu-west-2,192.168.3.46
eu-west-3,192.168.3.47
ca-central-1,192.168.3.50
us-east-1,192.168.3.49
cli-eu-central-1,192.168.3.50
cli-eu-central-2,192.168.3.51
cli-eu-north-1,192.168.3.52
cli-eu-south-1,192.168.3.53
cli-eu-south-2,192.168.3.54
cli-eu-west-1,192.168.3.55
cli-eu-west-2,192.168.3.56
cli-eu-west-3,192.168.3.57
cli-mx-central-1,192.168.3.58
cli-us-east-1,192.168.3.59
cli-us-east-2,192.168.3.60
cli-us-west-1,192.168.3.61
cli-us-west-2,192.168.3.62
cli-ca-central-1,192.168.3.63
cli-ca-west-1,192.168.3.64
