To\From,ca-central-1,ca-west-1,eu-central-1,eu-central-2,eu-north-1,eu-south-1,eu-south-2,eu-west-1,eu-west-2,eu-west-3,mx-central-1,us-east-1,us-east-2,us-west-1,us-west-2,cli-ca-central-1,cli-ca-west-1,cli-eu-central-1,cli-eu-central-2,cli-eu-north-1,cli-eu-south-1,cli-eu-south-2,cli-eu-west-1,cli-eu-west-2,cli-eu-west-3,cli-mx-central-1,cli-us-east-1,cli-us-east-2,cli-us-west-1,cli-us-west-2
ca-central-1,7.19,52.22,96.61,99.78,110.86,106.34,114.1,72.22,84.14,91.13,79.13,21.31,32.93,86.29,63.82,7.19,52.22,96.61,99.78,110.86,106.34,114.1,72.22,84.14,91.13,79.13,21.31,32.93,86.29,63.82
ca-west-1,54.96,7.16,168.42,170.45,179.27,173.74,181.67,146.88,154.78,159.61,80.18,61.5,45.76,44.82,24.85,54.96,7.16,168.42,170.45,179.27,173.74,181.67,146.88,154.78,159.61,80.18,61.5,45.76,44.82,24.85
eu-central-1,98.98,165.24,8.1,13.34,34.71,18.24,40.21,30.58,19.67,16.85,156.76,94.51,105.63,158.71,146.34,98.98,165.24,8.1,13.34,34.71,18.24,40.21,30.58,19.67,16.85,156.76,94.51,105.63,158.71,146.34
eu-central-2,96.92,163.12,11.82,7.69,45.58,13,34.63,32.56,25.61,17.97,155.95,94.89,105.56,159.38,149.03,96.92,163.12,11.82,7.69,45.58,13,34.63,32.56,25.61,17.97,155.95,94.89,105.56,159.38,149.03
eu-north-1,111.01,174.14,32.18,35.58,7.39,42.03,63.39,40.09,37.66,39.12,177.53,117,124.27,175.85,156.85,111.01,174.14,32.18,35.58,7.39,42.03,63.39,40.09,37.66,39.12,177.53,117,124.27,175.85,156.85
eu-south-1,106.05,175.07,17.4,12.09,42.89,6.96,30.66,41.74,32.64,25.74,162.69,106.47,115.19,168.02,156.72,106.05,175.07,17.4,12.09,42.89,6.96,30.66,41.74,32.64,25.74,162.69,106.47,115.19,168.02,156.72
eu-south-2,120.98,180.11,39.38,37.13,64.51,33.16,8.61,39.56,41.71,22.11,171.83,105.07,118.9,177.21,157.1,120.98,180.11,39.38,37.13,64.51,33.16,8.61,39.56,41.71,22.11,171.83,105.07,118.9,177.21,157.1
eu-west-1,74.91,138.57,33.81,30.9,44.45,41.09,40.81,8.04,15.85,26.72,133.58,73.04,83.84,138.03,122.96,74.91,138.57,33.81,30.9,44.45,41.09,40.81,8.04,15.85,26.72,133.58,73.04,83.84,138.03,122.96
eu-west-2,82.53,150.12,20.64,25.36,43.86,35.15,40.7,17.13,5.32,12.83,139.23,83.18,92.14,154.58,132.88,82.53,150.12,20.64,25.36,43.86,35.15,40.7,17.13,5.32,12.83,139.23,83.18,92.14,154.58,132.88
eu-west-3,90.94,155.18,12.8,14.41,39.99,27.77,21.52,25.11,14.13,8.3,147.1,88.22,99.04,150.38,141.33,90.94,155.18,12.8,14.41,39.99,27.77,21.52,25.11,14.13,8.3,147.1,88.22,99.04,150.38,141.33
mx-central-1,80.82,86.33,169.87,159.31,179.93,174.72,169.67,132.52,149.18,147.01,8.44,62.97,64.6,70.34,86.78,80.82,86.33,169.87,159.31,179.93,174.72,169.67,132.52,149.18,147.01,8.44,62.97,64.6,70.34,86.78
us-east-1,21.21,60.55,97.78,97.14,119.17,107.16,107.17,74.19,83.34,85.75,62.18,9.67,18.78,75.3,69.1,21.21,60.55,97.78,97.14,119.17,107.16,107.17,74.19,83.34,85.75,62.18,9.67,18.78,75.3,69.1
us-east-2,34.59,49.94,110.1,111.9,129.62,119.59,119.49,91.14,96.09,102.22,59.57,20.33,11.26,61.4,55.2,34.59,49.94,110.1,111.9,129.62,119.59,119.49,91.14,96.09,102.22,59.57,20.33,11.26,61.4,55.2
us-west-1,87.38,42.42,159.92,154.73,178.27,167.9,173.97,132.69,155.15,150.29,72.18,72.21,54.34,6.25,23.85,87.38,42.42,159.92,154.73,178.27,167.9,173.97,132.69,155.15,150.29,72.18,72.21,54.34,6.25,23.85
us-west-2,66.24,25.34,147.24,147.74,158.97,154.96,158.98,122.97,132.6,139.07,87.7,66.99,50.14,24.42,6.32,66.24,25.34,147.24,147.74,158.97,154.96,158.98,122.97,132.6,139.07,87.7,66.99,50.14,24.42,6.32
cli-ca-central-1,7.19,52.22,96.61,99.78,110.86,106.34,114.1,72.22,84.14,91.13,79.13,21.31,32.93,86.29,63.82,7.19,52.22,96.61,99.78,110.86,106.34,114.1,72.22,84.14,91.13,79.13,21.31,32.93,86.29,63.82
cli-ca-west-1,54.96,7.16,168.42,170.45,179.27,173.74,181.67,146.88,154.78,159.61,80.18,61.5,45.76,44.82,24.85,54.96,7.16,168.42,170.45,179.27,173.74,181.67,146.88,154.78,159.61,80.18,61.5,45.76,44.82,24.85
cli-eu-central-1,98.98,165.24,8.1,13.34,34.71,18.24,40.21,30.58,19.67,16.85,156.76,94.51,105.63,158.71,146.34,98.98,165.24,8.1,13.34,34.71,18.24,40.21,30.58,19.67,16.85,156.76,94.51,105.63,158.71,146.34
cli-eu-central-2,96.92,163.12,11.82,7.69,45.58,13,34.63,32.56,25.61,17.97,155.95,94.89,105.56,159.38,149.03,96.92,163.12,11.82,7.69,45.58,13,34.63,32.56,25.61,17.97,155.95,94.89,105.56,159.38,149.03
cli-eu-north-1,111.01,174.14,32.18,35.58,7.39,42.03,63.39,40.09,37.66,39.12,177.53,117,124.27,175.85,156.85,111.01,174.14,32.18,35.58,7.39,42.03,63.39,40.09,37.66,39.12,177.53,117,124.27,175.85,156.85
cli-eu-south-1,106.05,175.07,17.4,12.09,42.89,6.96,30.66,41.74,32.64,25.74,162.69,106.47,115.19,168.02,156.72,106.05,175.07,17.4,12.09,42.89,6.96,30.66,41.74,32.64,25.74,162.69,106.47,115.19,168.02,156.72
cli-eu-south-2,120.98,180.11,39.38,37.13,64.51,33.16,8.61,39.56,41.71,22.11,171.83,105.07,118.9,177.21,157.1,120.98,180.11,39.38,37.13,64.51,33.16,8.61,39.56,41.71,22.11,171.83,105.07,118.9,177.21,157.1
cli-eu-west-1,74.91,138.57,33.81,30.9,44.45,41.09,40.81,8.04,15.85,26.72,133.58,73.04,83.84,138.03,122.96,74.91,138.57,33.81,30.9,44.45,41.09,40.81,8.04,15.85,26.72,133.58,73.04,83.84,138.03,122.96
cli-eu-west-2,82.53,150.12,20.64,25.36,43.86,35.15,40.7,17.13,5.32,12.83,139.23,83.18,92.14,154.58,132.88,82.53,150.12,20.64,25.36,43.86,35.15,40.7,17.13,5.32,12.83,139.23,83.18,92.14,154.58,132.88
cli-eu-west-3,90.94,155.18,12.8,14.41,39.99,27.77,21.52,25.11,14.13,8.3,147.1,88.22,99.04,150.38,141.33,90.94,155.18,12.8,14.41,39.99,27.77,21.52,25.11,14.13,8.3,147.1,88.22,99.04,150.38,141.33
cli-mx-central-1,80.82,86.33,169.87,159.31,179.93,174.72,169.67,132.52,149.18,147.01,8.44,62.97,64.6,70.34,86.78,80.82,86.33,169.87,159.31,179.93,174.72,169.67,132.52,149.18,147.01,8.44,62.97,64.6,70.34,86.78
cli-us-east-1,21.21,60.55,97.78,97.14,119.17,107.16,107.17,74.19,83.34,85.75,62.18,9.67,18.78,75.3,69.1,21.21,60.55,97.78,97.14,119.17,107.16,107.17,74.19,83.34,85.75,62.18,9.67,18.78,75.3,69.1
cli-us-east-2,34.59,49.94,110.1,111.9,129.62,119.59,119.49,91.14,96.09,102.22,59.57,20.33,11.26,61.4,55.2,34.59,49.94,110.1,111.9,129.62,119.59,119.49,91.14,96.09,102.22,59.57,20.33,11.26,61.4,55.2
cli-us-west-1,87.38,42.42,159.92,154.73,178.27,167.9,173.97,132.69,155.15,150.29,72.18,72.21,54.34,6.25,23.85,87.38,42.42,159.92,154.73,178.27,167.9,173.97,132.69,155.15,150.29,72.18,72.21,54.34,6.25,23.85
